"upload_plugin","Upload Plugin"
"proxy_host","Proxy Host"
"proxy_port","Proxy Port"
"proxy_user","Proxy User"
"proxy_pass","Proxy Pass"
"proxy_settings","Proxy Settings"
"select_connectivity_type","Select Connectivity Type"
"proxy","Proxy"
"direct_socket","Direct (Socket)"
"http_connectivity_direct_proxy","HTTP Connectivity (direct, proxy, ...)"
"parent_element","Parent Element"
"import_fieldcollection_definition","Import Field Collection Definition"
"batch_change_selected","Batch change selected"
"gridview","Grid View"
"modificationDate","Modification Date"
"creationDate","Creation Date"
"visibility_of_system_properties","Visibility of system properties"
"translate","translate"
"translations_admin_hint","HINT: Please Reload UI to apply translation changes!"
"download_as_zip","Download as ZIP"
"locked","Locked"
"element_cannot_be_move_because_it_is_locked","Element cannot be moved because it is locked."
"element_cannot_be_moved","The element cannot be moved here"
"lock","Lock"
"unlock","Unlock"
"lock_and_propagate_to_childs","Lock and propagate to children"
"unlock_and_propagate_to_children","Unlock and propagate to children"
"no_collections_allowed","No Collections allowed"
"allowed_types","Allowed Types"
"columnlength","Columnlength"
"this_is_a_newer_not_published_version","This is a newer not published version"
"direct_sql_query","Direct SQL query"
"filter_condition","Filter Condition"
"creationdate","Creation Date"
"modificationdate","Modification Date"
"all_types","All Types"
"audio","Audio"
"video","Video"
"archive","Archive"
"unknown","Unknown"
"class","Class"
"page","Page"
"snippet","Snippet"
"folder","Folder"
"your_selection","Your Selection"
"double_click_to_add_item_to_selection","Double-click an item on the left to add it to this selection."
"visible_in_searchresult","Visible in Search Result"
"visible_in_gridview","Visible in Grid View"
"fieldcollections","Field-Collections"
"fieldcollection_saved_successfully","Field-Collection was saved successfully"
"problem_creating_new_fieldcollection","There was an error while creating the field-collection"
"enter_the_name_of_the_new_fieldcollection","Enter the name of the new field-collection"
"add_fieldcollection","Add Field-Collection"
"field_collections","Field-Collections"
"block","Block"
"update_flash","Your Flash Plugin is outdated, please update!"
"tooltip","Tooltip"
"label","Label"
"objectsid","Objects (ID's)"
"decimalPrecision","Decimal-Precision"
"css_style","CSS Style"
"error_auth_failed","Login failed!<br />Please try again."
"error_user_inactive","This user has been set to inactive"
"error_session_expired","Session expired!<br />Please login again."
"settings_save_success","Settings saved successfully"
"variation_page","Variation Page"
"add_variation_page","Add Variation Page"
"navigation_summary","Navigation Summary"
"prev_pages","Previous Pages"
"next_pages","Next Pages"
"site","Site"
"descending","Descending"
"ascending","Ascending"
"sort","Sort"
"results","Results"
"dimension","Dimension"
"metric","Metric"
"segment","Segment"
"data_explorer","Data Explorer"
"navigation","Navigation"
"bounces","Bounces"
"entrances","Entrances"
"exits","Exits"
"uniquePageviews","Unique Pageviews"
"debug_mode_on","DEBUG MODE"
"restore","Restore"
"amount","Amount"
"flush_recyclebin","Flush Recycle Bin"
"recyclebin","Recycle Bin"
"deletedby","Deleted By"
"add_setting","Add Setting"
"website_settings","Website Settings"
"reverse","Reverse"
"geopolygon","Geographic Polygon"
"open_select_editor","Open Selection-Editor"
"geobounds","Geographic Bounds"
"ignore","ignore"
"sure_to_install_unstable_update","Are you sure that you want to install a potential not working version?"
"there_was_a_problem_creating_a_folder","There was an problem while creating a new folder"
"empty_page","Empty Page"
"empty_snippet","Empty Snippet"
"empty_email","Empty Email"
"email_log_property","Property Key"
"email_log_data","Data"
"email_log_resend","Send email"
"email_log_resend_window_title","Resend email"
"email_log_resend_window_msg","Please confirm that you want to send the email again to all recipients."
"select_site","Select a site"
"main_site","Main Site"
"filename","Filename"
"data_mapping","Data Mapping"
"unsupported_filetype","Unsupported Filetype"
"class_saved_successfully","Class saved successfully"
"class_save_error","Class cannot be saved"
"show_root_node","Show root-node"
"root_folder","Root-Folder"
"email_log_resend_window_success_message","The email has been sent successfully to all recipients."
"email_log_resend_window_error_message","An error occurred. The email has not been resent."
"condition","Condition"
"custom_views","Custom Views"
"error_jobs","The following jobs failed"
"batch_change","Batch Assignment"
"batch_edit_field","Batch edit field"
"published","Published"
"all","all"
"items_per_page","Items per page"
"analytics_accountid","Account-ID (eg. 1234567)"
"reload_pimcore_changes","You have to reload Pimcore for the changes to take effect, would you like to do this now?"
"info","Info"
"ab_test_was_created_successfully","Your A/B was created successfully"
"ab_test_error","There was an error while creating your A/B test."
"add_your_test_pages","Now add your pages to this experiment"
"create_ab_description","Here you can create new A/B tests with Google Analytics and Google Websiteoptimizer"
"experiment_name","Name of the Experiment"
"conversion_page","Conversion (Goal)-Page"
"test_page","Test-Page"
"URL","URL"
"select_version","Select a Version"
"or","or"
"link_settings","Link Settings"
"error_pasting_object","Error while pasting object"
"paste_contents","Paste only contents here"
"paste_as_child","Paste as child"
"paste_recursive_as_childs","Paste as child (recursive)"
"view_original","View Original"
"feed","Feed"
"no_items_found","No items found"
"no_objects_found","No objects found"
"no_assets_found","No assets found"
"no_documents_found","No documents found"
"public_url","Public URL"
"create_ab_test","Create A/B Test"
"google_websiteoptimizer","Google Website Optimizer"
"pageviews","Pageviews"
"unique_pageviews","Unique Pageviews"
"visits","Visits"
